,female_name
272,Gretel Packer
273,Tseng Sing-ai
274,
275,Angela Bennett
276,Wilma Tisch
277,Xie Juhua & family
278,Xuhui Li
279,Li Qiong
280,Tadako Nakatani
281,Qian Jinghong
282,Rihanna
283,Jenny Lindén Urnes
284,Lu Zhongfang
285,
286,Saroj Rani Gupta
287,Elena Baturina
288,Simona Giorgetta
289,Qu Miranda
290,Deniz Sahenk
291,Neide Helena de Moraes
292,Jennifer Steinbrenner Swindal
293,Jessica Steinbrenner
294,Annalisa Doris
295,Carmen Daurella Aguilera
296,
297,Fengluan Li
298,Christine Knauf
299,Keiko Erikawa
300,Shirley Kao
301,Eva Maria Braun-Luedicke
302,Friederike Braun-Luedicke
303,Liang Qin & family
304,Abigail Bennett
305,Renu Munjal
306,Zhang Xin
307,
308,Li Jinyang
309,Drorit Wertheim
310,Veronica Squinzi
311,Weili Dai
312,Dulce Pugliese de Godoy Bueno
313,Diana Teh Li Shing
314,Lillian Teh Li Ming
315,Lillyn Teh Li Hua
316,Catherine Phillips
317,Anne Werninghaus
318,
319,Kim Kardashian
320,Martha MacMillan
321,Sara George Muthoot
322,Michaela Herz
323,Giuliana Caprotti
324,Marina Caprotti
325,Gabriella Meister
326,Danna Azrieli
327,Naomi Azrieli
328,Sharon Azrieli
329,
330,Ulrike Meister
331,Zhang Hong
332,Franziska Wuerbser
333,Yang Yunyun
334,Lina Tombolato
335,Yan Jane & family
336,Norma Lerner
337,Nancy Lerner
338,Zhao Tongtong
339,Cristina Green
340,
341,Zhuo Jun
342,Tan Lili
343,Sara Blakely
344,Huang Xiaofen & family
345,Xu Yuejuan
346,Helena Revoredo
347,Kim Jung-min
348,Kim Jung-youn
349,Yuan Liping
350,Qian Ying
351,
352,Wang Yanqing & family
353,Zhang Yin
354,Anna Maria Braun
355,Johanna Braun
356,Ma Xiuhui
357,Wu Xiaoge
358,Tory Burch
359,Benedicte Find
360,Kalpana Parekh
361,Marina Budiman
362,
363,Clelia Haji-Ioannou
364,Lia Maria Aguiar
365,Ana Maria Marcondes Penido Sant'Anna
366,Hedda im Brahm-Droege
367,Pollyanna Chu
368,Ana Maria Brescia Cafferata
369,Vera Rechulski Santo Domingo
370,Elizabeth Holmes
