,Image,Rank,Name,Net_Worth,Age,Source,Country,internal_link,Industry
2230,https://specials-images.forbesimg.com/imageserve/60464ead584901b00b3ef273/416x416.jpg?background=000000&cropX1=182&cropX2=1486&cropY1=83&cropY2=1387,803,Donald Horton & family,$3.6 B,73,Homebuilding,United States,https://www.forbes.com/profile/donald-horton/?list=rtb/,Real Estate
2231,https://specials-images.forbesimg.com/imageserve/63efe67dd6f4d7a45fafaaf0/416x416.jpg?background=000000&cropX1=67&cropX2=852&cropY1=36&cropY2=821,808,Edwin Leong,$3.6 B,71,Real estate,Hong Kong,https://www.forbes.com/profile/edwin-leong/?list=rtb/,Real Estate
2232,//specials-images.forbesimg.com/imageserve/5d8acec222254b0008e16454/416x416.jpg?background=000000&cropX1=15&cropX2=643&cropY1=36&cropY2=664,832,Richard LeFrak & family,$3.5 B,77,Real estate,United States,https://www.forbes.com/profile/richard-lefrak/?list=rtb/,Real Estate
2233,//specials-images.forbesimg.com/imageserve/5d8aef6718444200084e7307/416x416.jpg?background=000000&cropX1=889&cropX2=4170&cropY1=178&cropY2=3456,849,Herb Simon,$3.5 B,88,Real estate,United States,https://www.forbes.com/profile/herb-simon/?list=rtb/,Real Estate
2234,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,856,Yakir Gabay,$3.5 B,57,Real estate,Cyprus,https://www.forbes.com/profile/yakir-gabay/?list=rtb/,Real Estate
2235,//specials-images.forbesimg.com/imageserve/5d9f5a6d4223bf0006b829d4/416x416.jpg?background=000000&cropX1=210&cropX2=1212&cropY1=7&cropY2=1010,888,Vikas Oberoi,$3.4 B,52,Real estate,India,https://www.forbes.com/profile/vikas-oberoi/?list=rtb/,Real Estate
2236,https://specials-images.forbesimg.com/imageserve/63ea5d473566dd44e5ffa61e/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,947,John Gandel,$3.2 B,88,Shopping malls,Australia,https://www.forbes.com/profile/john-gandel/?list=rtb/,Real Estate
2237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Real Estate
2238,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,954,Geoffrey Palmer,$3.2 B,73,Real estate,United States,https://www.forbes.com/profile/geoffrey-palmer/?list=rtb/,Real Estate
2239,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,958,Ji Qi,$3.2 B,56,"Hotels, motels ",China,https://www.forbes.com/profile/ji-qi/?list=rtb/,Real Estate
2240,https://specials-images.forbesimg.com/imageserve/60352e99e4589cfcfd71abaa/416x416.jpg?background=000000&cropX1=1334&cropX2=2444&cropY1=126&cropY2=1235,963,Rita Tong Liu,$3.2 B,75,Real estate ,Hong Kong,https://www.forbes.com/profile/rita-tong-liu/?list=rtb/,Real Estate
