,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
66,Low Tuck Kwong,1.3,1.0,1.0,,1.5,2.4,1.1,1.1,3.7,25.5
67,Vladimir Potanin,12.6,15.4,12.1,14.3,15.9,18.1,19.7,27.0,17.3,23.7
68,Thomas Frist Jr,6.1,7.6,7.3,8.8,9.6,12.4,7.5,15.7,21.8,20.2
69,Emmanuel Besnier,7.9,7.1,7.6,11.3,14.7,14.3,12.7,19.1,23.5,22.0
70,Lukas Walton,,,10.4,11.3,15.9,15.2,18.4,15.6,16.5,21.2
71,Iris Fontbona,15.5,13.5,10.1,13.7,16.3,15.4,10.8,23.3,22.8,23.1
72,Vladimir Lisin,16.6,11.6,9.3,16.1,19.1,21.3,18.1,26.2,18.4,22.1
73,Takemitsu Takizaki,6.6,7.6,7.2,12.3,17.5,16.3,17.4,25.8,23.9,21.0
74,Leonid Mikhelson,15.6,11.7,14.4,18.4,18.0,24.0,17.1,24.9,14.0,21.6
75,Abigail Johnson,17.3,13.4,13.1,14.4,15.9,15.6,10.8,20.9,21.2,21.6
76,James Ratcliffe,1.2,1.8,5.5,9.0,16.4,12.1,11.0,17.0,16.3,22.9
77,Rick Cohen,,,,,,,,,,
78,Alexey Mordashov,10.5,13.0,10.9,17.5,18.7,20.5,16.8,29.1,13.2,20.9
79,Vagit Alekperov,13.6,12.2,8.9,14.5,16.4,20.7,15.2,24.9,10.5,20.5
80,Savitri Jindal,4.9,5.3,3.5,5.2,8.8,5.9,4.8,9.7,17.7,17.5
81,Eyal Ofer,7.0,8.5,8.4,8.9,9.4,9.4,7.5,11.1,15.4,18.9
82,Daniel Gilbert,3.7,4.7,4.9,5.8,6.3,6.7,6.5,51.9,22.0,18.0
83,Wang Chuanfu,4.3,3.9,4.4,4.2,5.2,4.3,4.4,16.3,19.5,18.7
84,Andrew Forrest,5.2,2.2,1.3,5.7,4.4,5.4,6.7,20.4,17.8,19.6
85,Eric Schmidt,9.3,9.1,10.2,11.1,13.4,12.9,13.2,18.9,22.1,16.2
86,Ray Dalio,14.4,15.4,15.6,16.8,17.7,18.4,18.0,20.3,22.0,19.1
87,Wang Wei,4.0,4.2,4.2,15.9,18.2,12.1,15.2,39.0,24.3,21.2
88,Stefan Persson,34.4,24.5,20.8,19.6,16.8,15.6,13.5,21.3,17.6,16.2
89,Harold Hamm,14.6,12.2,5.1,13.3,14.1,12.7,2.4,9.4,17.2,18.5
90,Gennady Timchenko,15.3,10.7,11.4,16.0,16.0,20.1,14.4,22.0,11.3,18.5
91,John Menard Jr,7.5,9.0,9.3,10.2,11.5,10.5,11.5,14.2,16.6,17.4
92,David Tepper,10.0,10.4,11.4,11.0,11.0,11.6,12.0,14.5,16.7,18.5
93,Li Shufu,1.9,2.4,1.7,6.7,15.3,13.6,12.4,19.7,23.7,19.0
94,Vicky Safra,,,,,,,,7.4,7.4,16.7
95,Leonard Lauder,7.5,9.1,9.0,8.9,12.9,14.6,14.6,25.5,23.1,21.0
96,Theo Albrecht Jr,19.3,19.0,20.3,18.8,20.2,17.4,17.0,18.8,18.7,16.5
97,Steve Cohen,11.0,11.4,12.7,13.0,14.0,12.9,13.9,16.0,17.4,17.5
98,Donald Bren,14.4,15.2,15.1,15.2,16.3,16.4,15.5,15.3,16.2,17.4
99,Dilip Shanghvi,12.8,20.0,16.7,13.7,12.8,7.6,6.1,10.9,15.6,15.6
100,Rupert Murdoch,13.5,13.9,10.6,13.1,15.0,19.4,14.9,23.5,20.8,17.1
101,Radhakishan Damani,,,,,,,,16.5,20.0,15.3
102,Karl Albrecht Jr,,,25.9,27.2,29.8,36.1,33.3,39.2,36.8,15.8
103,Beate Heister,,,,,,,,,,
104,Renata Kellnerova,,,,,,,,,16.6,16.5
105,Qin Yinglin,,1.2,1.7,2.0,3.6,4.3,18.5,33.5,24.1,18.9
106,Eduardo Saverin,4.1,4.8,6.2,7.9,10.1,9.7,8.4,14.6,10.6,10.2
107,Lakshmi Mittal,16.7,13.5,8.4,16.4,18.5,13.6,7.4,14.9,17.9,17.7
108,Michael Platt,3.6,3.5,3.0,4.5,6.9,8.0,8.0,13.0,15.2,16.0
109,Diane Hendricks,4.6,3.6,5.1,3.9,5.5,6.3,6.9,8.0,10.7,13.7
